titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,avaliacao,resenha,abandonos,relendo,querem_ler,lendo,leram,descricao,genero,male,female
Paz a Cada Passo,Thich Nhat Hanh ,9788532503831,8532503837,1996,164,português,Rocco,4.5,13,0,1,1,59,11,31,"Como o simples ato de lavar a louça pode se tornar uma oportunidade de experimentarmos a felicidade e a serenidade? Como a campainha de um telefone pode nos ajudar a despertar para a vida e para a paz interior e exterior? Em Paz a cada passo, um líder espiritual e professor Zen internacionalmente conhecido nos mostra que a satisfação mais profunda pode ser encontrada nas coisas que fazemos cotidianamente sem nem mesmo perceberThich Nhat Hanh, indicado para o prêmio Nobel da Paz e defensor do budismo socialmente engajado, ensina a prática da mente desperta  a ação de manter a consciência atenta à experiência presente, de estar verdadeiramente desperto Paz a cada passo oferece métodos práticos para integrarmos os eventos cotidianos à busca pela paz interior, começando com a conscientização de respirar e de sorrir e se estendendo para o trabalho, o lazer, os relacionamentos, a família, a luta com a tecnologia, o dinheiro e a políticaThich Nhat Hanh nos ensina que não é necessário esperar para mudarmos nossas vidas Ele oferece inúmeras sugestões criativas que podem ser utilizadas imediatamente, a partir da essência da sabedoria antiga, habilmente adaptada à vida contemporânea", ,33,67
O Quark e o Jaguar,Murray Gell-Mann,9788532505675,8532505678,1996,396,português,Rocco,3.6,8,1,3,0,83,0,16,"Neste livro, Murray Gell-Mann, Prêmio Nobel de Física de 1969 por sua descoberta do quark  um dos blocos constitutivos da matéria , apresenta seus pontos de vista sobre a síntese, surgida na pesquisa da vanguarda, das características do mundo que nos cerca: o estudo do simples e do complexo Esta análise reúne, de maneira inovadora, material das ciências físicas, biológicas, do comportamento e mesmo das artes e das ciências humanasO quark e o jaguar divide-se em quatro partes A primeira, ""O simples e o complexo"", inclui dados biográficos e observações gerais sobre a natureza e o poder da teoria e do empreendimento científico A segunda, ""O universo quântico"", abrange não apenas as leis fundamentais mas a base filosófica da mecânica quântica, a cosmologia e as setas do tempo, e ainda as possíveis formas futuras das teorias ""Seleção e aptidão"" é uma visão da evolução biológica que também contém discussões sobre a superstição, esquemas mal-adaptativos e sustentabilidade Finalmente, em ""Diversidade e sustentabilidade"", Gell-Mann se apresenta como militante ambientalista e defensor da políticaO quark e o jaguar revela uma fatia mais ampla do universo, desde suas origens cósmicas, a natureza e a interpretação das leis físicas fundamentais, passando pela origem da vida e a evolução, a cultura e a ecologia É um corte estimulante através do conhecimento humano, realizado por um dos cientistas mais brilhantes de nosso século Gell-Mann faz com que a conexão entre as leis básicas da natureza e as manifestações de sua complexidade se transformem numa excitante aventura intelectual",Não-ficção ,76,24
A Lei da Fazenda,Laura Zigman,9788532508539,8532508537,1996,304,português,Rocco,3.1,19,1,0,0,16,1,24,"Mãe é mãe, paca é paca Mulher é tudo vaca O refrão da turma do Casseta e Planeta reforça a tese igualmente bem-humorada da escritora Laura Zigman Em A lei da fazenda, seu livro de estréia, ela faz uma divertida ironia da mania  ou clichê  que o homem tem de trocar a atual mulher por outra Ao analisar o comportamento amoroso masculino, ela cria a Teoria da Vaca Nova, que mistura pensamentos de Darwin, Freud e argumentos pseudocientíficosLaura Zigman encontrou uma forma diferente de discutir um tema antigo: a guerra dos sexos Ao mesmo tempo, conseguiu fazer humor sarcástico, ao melhor estilo Woody AllenA lei da fazenda conta a história da apresentadora de televisão Jane Goodall (curiosamente homônima de uma especialista em chimpanzés), que se apaixona por Ray, um jovem produtor executivo, bonito e aparentemente solitário, como Jane Depois de alguns meses de romance, ele dá o fora, ignora os telefonemas e se transforma em mais um amor não correspondidoRecém-chegada à casa dos 30, Jane resolve então transformar sua dor-de-cotovelo numa pesquisa científica Vai morar com Eddie Alden, um mulherengo típico, especialista em fugir de compromissos, que se encaixa perfeitamente em sua estratégia Com Eddie, ela vive as experiências planejadas, ou seja, as agruras da mulher que vai ser inevitavelmente trocada por outra E colhe um conjunto de teorias que envolve homens, mulheres, bichos, a Teoria da Evolução e discursos de auto-ajudaEscolada e articulada, Jane Goodall se credencia a assinar uma coluna de conselhos sexuais numa revista masculina A situação de Jane e Eddie inspira a analogia que permeia toda a história: o homem é como o touro, que sempre opta por uma vaca nova", ,7,93
This boy's life,Tobias Wolff,9788532506771,8532506771,1996,244,inglês,Rocco,2.7,6,0,0,0,3,1,7,"A maior parte das pessoas tende a ser muito seletiva nas recordações de infância Montam um painel de lembranças doces e inocentes como um álbum de fotografia, deixando de lado os jogos de poder, as frustrações e as traições Acontece que a infância é tudo, menos inocente É um jogo repleto de possibilidades do bem e do malEste é o cenário que Tobias Wolff nos oferece no seu livro de memórias O despertar de um homem é um torpedo literário sobre o crescimento, contado do ponto de vista de uma criança A escrita de Wolff atrai por sua honestidade dessentimentalizada e pela vontade de revelar o que nós, quando adultos, tendemos a esquecerA história começa na América dos anos 1950, quando o jovem Toby Wolff ( que muda o nome para Jack) e sua mãe, Rosemary, iniciam uma vida nômade e fragmentada A próxima mudança, entre tantas outras, é em direção ao estado de Utah, para tentar enriquecer com ""a corrida do urânio"" No meio da viagem, Rosemary encontra e acaba se envolvendo com Dwight  aparentemente o melhor companheiro que encontraraA tentativa de criar raízes desperta uma série de conflitos para Toby, principalmente pela tumultuada relação com o padrasto e seus três filhos adolescentes Dwight revela-se um homem problemático, que explora as formas de dominação como um modo de compensar a insegurança e a debilidade emocionalEm frases secas e cortantes Toby/ Jack manipula o ambiente para construir um mundo próprio, onde a figura do pai é venerada como um elemento místico Ele passa a criar um personagem de aventuras (como Jack London), fantasia, fugas, mente sobre sua vida e falsifica tudo o que for possível para retratar o garoto que ele gostaria de ter sido", ,43,57
Limite,Saulo Pereira de Mello,9788532506382,8532506380,1996,112,português,Rocco,4.7,6,0,0,0,6,0,11,"O filme Limite estreou há 65 anos no Cine Eldorado no Rio de Janeiro e até hoje tem seus cultores fiéis Realizado por Mário Peixoto em 1930 no município de Mangaratiba, litoral sul-fluminense, foi exibido pela companhia cinematográfica Cinédia e pelo Chaplin Club, que foi em seu tempo um extraordinário fórum de debates em torno dos problemas relacionados com o cinema silenciosoEmbora não tenha sido distribuído comercialmente, Limite conquistou nas sessões especiais em que costuma ser exibido um grupo de cinéfilos que o mantêm vivo até hoje Primeiro filme brasileiro a alcançar um indiscutível sucesso de crítica, figura hoje ao lado dos grandes clássicos da cinematografia mundial Ainda que pouco visto, tornou-se citação obrigatória na história do cinemaNeste volume publicado agora pela editora Rocco em sua coleção Artemídia Limite é resgatado em todas as suas dimensões pelo escritor Saulo Pereira de Mello, um estudioso do cinema que nos anos 70, trabalhando junto com Plínio Sussekind Rocha, um dos fundadores e expoentes do Chaplin Club, foi responsável pela restauração do filmeAlém disso, o livro de Saulo Pereira de Mello traça um perfil de Mário Peixoto, situando-o no contexto nacional e internacional da produção de filmes, num momento em que o cinema falado ia aceleradamente substituindo o filme mudo e se firmando no mundo inteiro (site Americanas",com) ,70,30
jardim de cimento,Ian McEwan,9788532506528,8532506526,1996,132,português,Rocco,3.7,658,33,3,4,712,22,969,"O pai obsessivo, frágil e irritadiço morre, subitamente, do segundo ataque cardíaco Sua mulher o segue, pouco depois, deixando os quatro filhos entregues à própria sorte, inseguros, mal formados, liderados pelos dois mais velhos, adolescentes indiferentes e vazios Encerradas em um minúsculo mundo, cujo contato com o real é episódico, as crianças, órfãos de pai e mãe, entregam-se a todos os tipos de sensações, semeando com suas atitudes, não mais um jardim, mas o caos, o labirinto existencial para o qual não há saída Em ´O jardim de cimento´, Ian McEwan trata da infância perdida, do que acontece quando não existem limites e todos os mais pervertidos impulsos podem ser testados, sem freios",Ficção / Literatura Estrangeira / Romance ,32,68
As letras do meu nome,Grazia Livi,9788532505804,8532505805,1996,319,português,Rocco,5.0,1,1,3,0,6,2,3,"Simone de Beauvoir, Colette, Virginia Woolf, Gertrude Stein, Anne Frank Gianna Manzini, Ana Banti, Ingeborg Bachmann, Carla Lonzi, Agnes BojaxhiuMulher/Sociologia", ,7,93
Os três últimos dias de Fernando Pessoa,Antonio Tabucchi,nan,nan,1996,70,português,Rocco,3.7,29,1,0,0,49,0,64,"(Sinopse copiada do site da Livraria Cultura)Lisboa, novembro de 1935 Em seu leito de morte, no hospital São Luís dos Franceses, Fernando Pessoa, durante três dias de agonia, recebe a visita de seus heterônimos Como em um delírio, o grande poeta português dialoga com aqueles fantasmas que o acompanharam durante toda a sua vida, revivendo momentos determinantes de suas vidas e ditando-lhes seus últimos desejos Uma narrativa romanceada e ao mesmo tempo biográfica (mesmo se tratando de uma biografia imaginária), na qual Antonio Tabucchi, com ternura e paixão, evoca a vida e a morte de um dos maiores escritores do século XX", ,32,68
Sonhos de sonhos,Antonio Tabucchi,9788532507136,8532507131,1996,94,português,Rocco,3.4,8,0,0,0,8,0,13,"Afirma Tabucchi: Muitas vezes fui assaltado pelo desejo de conhecer os sonhos dos artistas que amei Infelizmente para o autor, esses artistas não nos deixaram os percursos noturnos de seu espírito Em sonhos de sonhos o escritor italiano Antonio Tabucchi sonha com o que poderiam ter sonhado vinte de seus mitos: poetas como Rimbaud, Villon, Garcia Lorca e Coleridge Ou ainda pintores como Goya e Tolouse-Lautrec E ainda, para completar, aquele que mais se dedicou à interpretação dos sonhos dos homens: Sigmund Freud Mas como se imagina um sonho de um gênio? A proposta dessa coletânea onírica é de trabalhar poeticamente os elementos biográficos mais marcantes de cada um dos artistas apostando em lembranças de momentos chave, hábitos e desejos Dessa forma encontramos Rimbaud, no hospital, às vésperas da morte Ele recorta o calor da Comuna de Paris o momento a partir do qual ele iniciaria sua vida irrequieta e desregrada Já Vladimir Maikowvski tem um pesadelo persecutório que revela um detalhe curioso da sua vida Tomado por uma neurose obsessiva, provocada pelas reviravoltas ditatoriais da Revolução, ele andava sempre com um sabonete no bolso, lavando continuamente às mãos Como não poderia deixar de ser, o poeta e fingidor Fernando Pessoa, objeto constante do estudo de Tabucchi, também está presente O sonho de Pessoa acontece na véspera do dia triunfal, 8 de março de 1914, quando os heterônimos do poeta começaram a escrever por sua mão Não há como não se deixar seduzir por esse mergulho no inconsciente Experimente ler na cama, antes de dormir E bons sonhos", ,35,65
Mary Reilly,Valerie Martin,9788532500489,853250048X,1996,224,português,Rocco,3.8,34,3,2,0,42,4,54,"Por ser observadora atenta e perspicaz do frágil equilíbrio humano, a criada vitoriana Mary Reilly sobreviveu na influência a pobreza e a truculência do pai Quando se emprega na casa do famoso cientista Dr Jekyll, assiste à lenta transformação do patrão na perversa personalidade do Sr Hyde e tenta entender o sofrimento de quem divide corpo e consciência com um perigoso delinqüente Mary Reilly é ao mesmo tempo uma nova abordagem do antigo tema do médico e do monstro, é um singular retrato de uma mulher que age sob o signo da emoção e da indulgência",Ficção / Suspense e Mistério ,31,69
Mundo fantasmo,Bráulio Tavares,9788532506726,8532506720,1996,96,português,Rocco,4.2,16,0,1,0,18,2,30,nan,nan,78,22
Espinha Dorsal da Memória,Bráulio Tavares,9788532506726,8532506720,1996,158,português,Rocco,4.2,20,2,0,1,33,3,38,nan,nan,76,24
A Conexão Bellarosa,Saul Bellow,9788532500816,8532500811,1996,132,português,Rocco,3.1,9,0,0,0,8,0,8,"Durante sua brilhante carreira literária, Saul Bellow tem usado seu talento para investigar os rumos da sociedade contemporânea e o papel que nela desempenham os indivíduos O escritor volta a ser um obstinado da cena norte-americana e um notável e sofisticado criador de personagens em A conexão Bellarosa A começar pela escolha do narrador; anônimo fundador do Instituto Mnemotécnico da Filadélfia que exercita sua memória contando a história de Harry Fonstein, judeu foragido de uma prisão na Itália durante a ocupação nazista A fuga acontece graças ao empenho de uma operação encabeçada por um lendário produtor da Broadway chamado Billy Rose Quando Harry chega a América, ele quer conhecer e agradecer o benfeitor que o salvou da prisão, mas Billy Rose recusa-se a ter qualquer contato com ele Encontrar Billy Rose transforma-se em uma obsessão para Harry Fonstein Sorella, a perspicaz mulher de Harry, começa a ajudar o marido nessa procura e consegue afinal conhecer o impenetrável e misterioso império do produtor Ela se apossa de documentos comprometedores e tenta chantagear Billy Rose em troca de um encontro com seu marido", ,62,38
Depois do anoitecer,Phillip Margolin,9788532506511,8532506518,1996,320,português,Rocco,3.9,26,2,1,0,30,1,42,"A Suprema Corte do Oregon tem suas estruturas abaladas com os assassinatos misteriosos de um juiz e sua estagiária Quem estaria por trás disso? Que interesses estariam em jogo? O tráfico de drogas, a corrupção no meio judiciário, a batalha contra a pena de morte, os desafios e o amor que afasta e une os personagens são elementos que Phillip Margolin trabalha com maestria, como já havia provado em 'Rosas são para lembrar'",  ,29,71
O Reino Periódico,P. W. Atkins,9788532506184,8532506186,1996,144,português,Rocco,4.3,8,0,2,0,26,1,11,"A tabela periódica é um dos conceitos mais importantes na química, tanto na teoria quando na prática Presta inestimável ajuda aos estudantes, sugere novas linhas de pesquisas para os profissionais e provê uma organização sucinta de toda a química Uma percepção da tabela periódica é essencial para qualquer um que queira compreender o mundo e ver como este é construído a partir dos elementos químicos Neste livro, PW Atkins imagina a tabela periódica como uma espécie de guia de viagem a um país - O reino periódico - no qual os elementos formam as diversas regiões Para ele, os elementos foram descobertos de maneira similar às terras do mundo e também possuem sua própria história cósmica, que pode ser traçada até as estrelas Os elementos têm também propriedades governadas por leis que controlam seu comportamento e determinam as alianças que formam Esta administração é encontrada nas propriedades dos átomos e dos elétrons e núcleos que constituem os átomos", ,49,51
Torre de Babel,Rocco,nan,nan,1996,265,português,Rocco,4.3,4,0,0,0,14,1,6,"Uma seleção das mais representativas crônicas está contida em Torre de Babel O autor exercita a combinação de realidade e ficção, principalmente para pensar o Brasil e os Estados Unidos de maneira comparativa, usando para isso sua vivência nos dois países", ,50,50
A Marca do Felino,Valerie Martin ,9788532506733,8532506739,1996,307,português,Rocco,3.4,16,0,2,0,7,1,19,"Este romance mostra a vida de três mulheres que se entrelaçam em histórias sobre o mesmo tema universal: o divórcio entre o homem e o resto da natureza, a psicologia humana versus o mundo ao seu redor, a selvageria do moderno em confronto com o espírito, a volta ao mito do bom selvagem que separa o homem domesticado do homem livre, aproximando-o do mundo naturalEllen é veterinária do zôo de Nova Orleans Cientista dedicada, custa a acreditar que o equilíbrio de seu casamento de 20 anos está ameaçado Seu marido, Paul, um homem instável, sempre em busca de aventuras e uma vida de liberdade, apaixona-se por outra O mundo domesticado de Ellen desaba com o divórcioPaul é historiador ocupado com um livro sobre a vida de Elizabeth Boyer Conhecida como a mulher gato, ela foi enforcada em 1846 por ter assassinado o marido tirano e cruel Única mulher branca executada na Louisiana no século passado, Elizabeth é o tema em background do exemplo da mulher que põe fim a uma vida de dominação, repressão e opressão Valerie Martin compara a personalidade da mulher gato à de um leopardo negro e livre e faz um contraponto com o espírito aprisionado dos bichos e a liberdade da selvaNo presente está Camille, a tratadora de grandes felinos do zôo Jovem de 19 anos, pobre e desajustada, ela vive em profunda solidão, acreditando não ter lugar na sociedade nem chances para uma vida feliz Igualmente cativa da selvageria do mundo moderno, Camille tem visões de poder e transformações, acreditando que incorpora as características de Magda, o leopardo negro do zôoEm A marca do felino Valerie Martin não só discorre sobre a fragilidade do equilíbrio  humano e da natureza  como aborda um tema que mexe com todos que se preocupam com as estratégias de sobrevivência e transformações naturais ao longo do tempo No ar fica a pergunta: será que a única maneira de salvar o mundo é desistir de tudo o que faz a vida valer a pena?A marca do felino é uma evocação criativa do filme de 1942, que o diretor Paul Schrader refilmou com o título A marca da pantera", ,13,88
As Vidas de Chico Xavier,Marcel Souto Maior,9788532504883,8532504884,1996,248,português,Rocco,4.5,1,58,44,4,561,75,2,"Ele já escreveu quase 400 livros e renegou a autoria de todos eles Vendeu mais de 20 milhões de exemplares, mas doou todo o dinheiro, em cartório, a instituições de caridade 'Os textos foram ditados pelos espíritos', garante ainda hoje Chico Xavier Quem é, o que pensa e como vive o líder espírita, considerado por milhões de brasileiros a ponte mais confiável até o 'outro mundo', a prova mais consistente de que a morte não existe? Em busca de respostas para esta pergunta, o jornalista Marcel Souto Maior, que não é espírita, entrevistou quase cem pessoas e vasculhou mais de 50 livros ao longo de dois anos de pesquisa O resultado desta reportagem é a biografia 'As vidas de Chico Xavier'", ,25,75
Hildegard de Bingen,Régine Pernoud,9788532506351,8532506356,1996,134,português,Rocco,4.1,17,0,1,0,44,2,23,"Surpreendente moderna, Hildegard de Bingen não foi apenas a maior mistica da Idade Média Foi tambem autora de 70 sinfonias e uma escritora prolífica que abordou temas como o homem e sua relação com o cosmos, a alimentação, o papel da mulher e a cura Todo um repertório da sabedoria medieval que o mundo atual começa a descobrir", ,44,56
 As Estratégias Fatais,Jean Baudrillard,9788532506078,8532506070,1996,172,português,Rocco,4.1,11,1,1,0,32,2,23,"Professor da Universidade de Nanterre, em Paris, contemporâneo de Michel Foucault e Roland Barthes, propõe que, diante do fracasso do desejo humano, da crítica radical e da negatividade como agentes transformadores, o homem entregue-se ao fatalismo",Filosofia / Sociologia ,60,40
"Homens, mulheres e relacionamentos"," John Gray, Ph.D.",9788532506498,8532506496,1996,279,português,Rocco,3.6,16,0,1,0,55,2,37,"Será que a luta entre homens e mulheres tem fim? As mulheres se emanciparam, conquistaram a liberdade e o mercado de trabalho, os homens também mudaram, mas nada disso tem evitado a frustração da vida a dois Pelo contrário Esta infelicidade é responsável pelo divórcio de cinco entre dez casamentos nos Estados Unidos, por exemplo Será que o homem e a mulher estão destinados a viver em guerra? Ou haverá uma luz no fim deste túnel de insatisfações? Há E quem pode nos levar até lá é ninguém menos do que John Gray, doutor em Psicologia, há 20 anos se empenhando em melhorar relacionamentos e auto-estima No livro Homens, mulheres e relacionamentos  Fazendo as pazes com o sexo oposto, está traçado um caminho de humor e felicidade conjugal Um apanhado de dicas práticas de efeito instantâneo em revigorar casamentos monótonos e aparentemente sem futuro John Gray foi o primeiro a testar suas recomendações no seu próprio casamento, com excelentes resultados É um exemplo vivo do êxito de suas teorias, segundo as quais não há muito mistério para se chegar à paz Basta um pouco de atenção e honestidade consigo mesmo e com o parceiro para uma comunicação imediata e eficaz Para John Gray, a guerra entre o homem e a mulher surge de suas diferenças Do fato de cada sexo ter vontades, demandas e linguagens diferentes Neste livro, John Gray não se detém explicando estas diferenças ou qual a origem das condutas masculina e feminina Ele se preocupa em demonstrar que na cabeça do homem ainda há a convicção de que é ele quem trabalha fora e que a casa é sua área de lazer A mulher, por sua vez, tem instintivamente, o desejo de transformar o homem Em lugar de mudar a si mesma, quer mudar o marido O sujeito não suportará esta eterna busca de um homem diferente do homem que ele realmente é Resultado de cursos de fins de semana ministrados por Gray nas 20 cidades mais importantes do mundo, e dos quais já participaram 25 mil pessoas, entre solteiros, casais e famílias inteiras, Homens, mulheres e relacionamentos já deu alma nova a milhares de casamentos e salvou outros tantos É um guia para que os casais se entendam melhor, uma janela aberta para a felicidade conjugal",Autoajuda ,45,55
A seta do tempo,Martin Amis,9788532506085,8532506089,1996,142,português,Rocco,4.3,8,2,5,0,37,0,15,"Só mesmo a ousadia do inglês Martin Amis para inventar uma história jamais imaginada por qualquer escritor: uma história em marcha à ré A seta do tempo fascina o leitor com a façanha extraordinária de seu criador; a inversão do tempo da narrativa O futuro que acontece primeiro do que o passado A ferida precede o tiro, os mortos revolvem as sepulturas e voltam à vida, o protagonista, Old Tod, um velho americano regride ao seu passado macabro até chegar ao fim, ao útero de sua mãeMartin Amis foi originalíssimo neste A seta do tempo, escrito na mesma época em que havia se transformado na Madona do mundo literário inglês, seja por seus contratos à beira de US$ 1 milhão, por suas ruidosas trocas de esposas, pelo preço de seu dentista ou por mera inveja de colegas menos brilhantes O que importa é que a narrativa invertida de A seta do tempo de fato nunca foi experimentada pela literatura Intrigou a todos, ao mesmo tempo em que delicia o leitor com um exercício insólito de imaginação O escritor inglês Frank Kermode, autor de The uses of errors, confessou ter mergulhado em teorias filosóficas sobre o tempo para avaliar se é viável a existência de uma história em marcha à ré Concluiu que não é possível, mas, no entanto, Martin Amis a escreveu de maneira saborosa Isto porque, embora a narrativa se dê em sentido contrário, as informações passadas ao leitor crescem no sentido habitual e a trama avança para um desfecho que, sem contradições, contém, na barbaridade de um campo de extermínio e na perversidade de um ser monstruoso, uma ternura surpreendente pela humanidade A história começa com um narrador agonizante rodeado por médicos Ao invés de morrer, ele volta para a vida e encarna num personagem com quem partilha segredos e regride, com nomes e empregos diferentes, como se fugisse de um passado Old Tod se chama Tod Friendly e esconde a verdadeira identidade de Odilo Unverboren, que, sob o nome de Hamilton, trabalha num campo de extermínio de Auschwitz", ,63,38
Sol Negro,Julia Kristeva,9788532501714,8532501710,1996,232,português,Rocco,3.5,6,0,2,0,75,9,13,"""O estado amoroso e a melancolia têm uma ligação profunda entre si e com o final do século É o amor (e sua perda) a principal fonte de melancolia É a melancolia a principal chave para se entender o que acontece quando os valores da sociedade entram em criseElaborando um tenso e delicado painel da criação enquanto produção melancólica, Julia Kristeva nos oferece em Sol negro uma obra em que a profundidade de análises psicanalíticas e semiológicas se funde agradavelmente em um texto saborosoRecriando os universos de Holbein, o pintor renascentista, Gerard de Nerval, o poeta, Dostoievski e Marguerite Duras, os romancistas, Kristeva faz mais do que expor uma complexa e irrefutável tese: ela guia o leitor numa viagem inesquecível através da história da melancolia como mola propulsora da genialidade",""" ",44,56
Alma Guerreira,Alan Duff,nan,nan,1996,235,português,Rocco,2.9,4,0,0,0,4,0,7,"Conta a história de Beth Heke, mulher descendente dos maoris, ancestral e guerreira tribo neozelandesa que hoje vive sob o jugo de uma minoria branca Apanha do marido constantemente e, impotente, vê que a seus filhos, assim como aos jovens maoris em geral, não resta outro caminho senão o da marginalidade e das drogas"," Mas ela surpreendentemente consegue empreender sua redenção e a superação da miséria e da incultura, retomando o orgulho coletivo; Veja também o filme: O Amor e a Fúria ",53,47
Shakespeare Apaixonado,Tom Stoppard,9788532510044,8532510043,1996,156,português,Rocco,3.9,45,0,0,0,89,3,84,Um jovem Shakespeare encontra na paixão a única maneira de recuperar a inspiração, O livro deu origem ao filme que ganhou o Oscar de melhor filme de 1999 ,21,79
Sylvia,Gérard de Nerval,9788532501660,8532501664,1996,84,português,Rocco,3.6,87,3,0,0,98,1,128,"Adriana, desdobrada em Silvia, encarna a pureza campestre; e Aurélia, o êxtase redentor Juntas elas são a idealização do amor, tal como era concebido nos sonhos desvairados do autor Evocando a região de Valois, no interior da França, onde passou a infância, Nerval faz renascer o mito do eterno feminino que sempre o perseguiu Silvia sintetiza todo o fascínio que a mulher romântica pode exercer sobre o homem apaixonado O estilo do autor, simples e despretensioso, empresta um ar de naturalidade às criações mais inspiradas de sua fantasia ""Silvia"" é considerada a obra-prima de Gerard de Nerval e um dos mais belos exemplos da literatura romântica",Ficção ,32,68
A Experiência,Yvonne Navarro,9788532506177,8532506178,1996,244,português,Rocco,3.3,22,0,2,0,13,0,33,"De posse de instruções vindas do espaço, uma equipe de cientistas fecunda um óvulo com a combinação de ADN humano com ADN alienígena A experiência, de Yvonne Navarro - baseado no roteiro de Dennis Feldman, que no cinema deu origem ao filme homônimo, dirigido por Roger Donaldson - é uma trama emocionante de suspense científico", ,43,57
A mulher que eles chamavam fatal,MIREILLE DOTTIN-ORSINI,9788532506030,8532506038,1996,372,português,Rocco,3.7,6,0,0,1,5,0,11,"Castradora ou degoladora, vampiro ou lâmia, polvo ou sanguessuga A mulher povoou, múltipla e aterrorizante, as páginas da literatura ´fin-de-siècle´ E muitas vezes foi nelas substituida por manequins ou bonecas de cera, inofensivas e cordatas ´A mulher que eles chamavam fatal´ brinda o leitor com um ensaio profundo, refinado e original Aqui, erudição, clareza e bom humor traçam um abrangente quadro de um passado artístico próximo Mas não só Fornecem precioso instrumental para que se compreenda por que até os dias de hoje muitos criadores ainda acreditam na fatalidade da mulher, fantasma maiúsculo no imaginário masculino", ,42,58
Os Samurais,Julia Kristeva,9788532506016,8532506011,1996,320,português,Rocco,4.0,3,0,0,0,13,1,5,"Cinco jovens, fervilhando de ideias, passam pelas lutas de Maio de 1968 e buscam o sentido da sociedade e da própria vida Olga, Hervé, Martin e Carole protagonizam amores excessivos, padecem das angústias e opressões de toda uma geração e investem intensamente em novas relações pessoais Lutam por um novo mundo e experimentam novos modelos na China e em outros países A linguagem, o erotismo, a loucura e a morte são suas constantes preocupações e são por eles vivenciados de forma intensa e encarniçada Sonhadores, eles são os samurais de uma sociedade sem sagrado, senso pelo qual se guiavam os antigos guerreiros Sua experiência, comentada poética e ironicamente pela psicanalista Joëlle, alter-ego de Julia Kristeva nesse roman à clef, pode induzi-los ao erro e à decepção Mas traz, inequívoca, a nobre marca do Quixotes de todos os tempos",Literatura Estrangeira ,35,65
Grande Fala do Índio Guarani e Catedral de Colônia,Affonso Romano de Sant'Anna,9788532509208,8532509207,1996,184,português,Rocco,3.0,1,1,0,0,3,0,4,"Dois poemas da mesma fase, com igual estrutura  de ""longo fôlego""  e já esgotados de Affonso Romano de SantAnna estão sendo reeditados pela Rocco A grande fala do índio guarani perdido na história e outras derrotas e A catedral de Colônia, do fim dos anos 70 e início dos 80, falam de História, literatura, repressão política, cultura, América Latina, religião etc  mas sobretudo do papel do poeta diante disso tudo A reedição inclui ensaios sobre os poemas e sobre o autor, escritos por nomes como Tristão de Athayde e José Guilherme Merquior ""É impossível não morrer de carro / nas estradas do meu país / Ou então se morre por outras vias e urros por / outros choques e murros / por outras armas e fomes /  É cada vez mais difícil / a esquina de outro dia em meu país"" Dono de uma cultura poética universal, de acordo com Tristão de Athayde, Affonso fez de seu poema ""uma longa e patética interrogação em torno do poder e do alcance da poesia, não só como beleza formal, no sentido estético, mas como alcance formal no sentido epistemológico em que ""forma significa aquilo que é"" O jornalista e crítico Donald Schuller, em outro artigo que integra a edição da Rocco, viu, no livro de Affonso, ao lado do Poema sujo de Ferreira Gullar, a síntese maior do período de ditadura imposta pelo golpe de 64 ""Que esta catedral sou eu / atroz-ateu / cristão-judeu / preto-plebeu / que esta catedral é o corpo vivo da História / e a história do próprio Eu"" No fim do poema, a partir do Carnaval de Colônia, o autor imagina um grande desfile de figuras históricas em frente à Catedral: personagens como Hitler e Lampião num verdadeiro samba do crioulo doido E lembra a lenda que dizia que a construção da catedral não podia terminar nunca, precisava estar em eterno recomeço Como a História E a poesia",  ,57,43
